@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
36,'2018/04/07 15:46:49:515',2,379.497345,298.393005,24.669743,395.400787,245.67688,44.014458,333.098389,249.884903,47.419758,284.570648,250.813492,45.413101,195.239944,263.435852,38.351044,1,0,0,0,0,0,0,0,0
37,'2018/04/07 15:46:49:566',2,379.437592,297.814331,24.685368,395.077637,245.460388,44.090229,332.776794,249.682404,47.488598,284.237579,250.541626,45.475597,194.840652,263.208618,38.405209,1,0,0,0,0,0,0,0,0
38,'2018/04/07 15:46:49:615',2,378.77124,297.497986,24.726015,394.964355,245.308823,44.155289,332.633484,249.423386,47.558376,284.071045,250.198608,45.546951,194.472794,263.026428,38.477524,1,0,0,0,0,0,0,0,0
39,'2018/04/07 15:46:49:664',2,377.608215,297.68457,24.773804,395.105591,245.253738,44.205189,332.925507,249.733063,47.603115,284.380096,250.442535,45.594025,194.617676,263.515625,38.520866,1,0,0,0,0,0,0,0,0
40,'2018/04/07 15:46:49:712',2,377.193848,297.985657,24.803963,395.272705,245.272583,44.203381,333.157257,249.875519,47.609299,284.87265,251.12149,45.60408,194.704315,263.790771,38.549908,1,0,0,0,0,0,0,0,0
41,'2018/04/07 15:46:49:765',2,376.838318,298.164001,24.79561,395.344147,245.297348,44.210415,333.196533,249.881866,47.616901,284.97757,251.345627,45.611099,194.73645,264.081909,38.550755,1,0,0,0,0,0,0,0,0
42,'2018/04/07 15:46:49:812',2,377.464722,298.210632,24.789465,395.254364,245.287872,44.214737,333.118958,249.785568,47.625206,284.83255,251.195114,45.624542,194.466446,264.045166,38.563705,1,0,0,0,0,0,0,0,0
43,'2018/04/07 15:46:49:862',2,378.72171,297.850952,24.76424,394.928833,244.973389,44.274471,332.716125,249.450272,47.691757,284.494965,251.005951,45.694435,194.094009,264.164734,38.62598,1,0,0,0,0,0,0,0,0
44,'2018/04/07 15:46:49:916',2,382.062408,297.627167,24.651569,394.597473,244.763763,44.247314,332.320984,249.111618,47.682541,284.095734,250.706146,45.698608,193.746475,264.187805,38.653934,1,0,0,0,0,0,0,0,0
45,'2018/04/07 15:46:49:966',2,383.356079,297.491577,24.614107,394.395447,244.62587,44.237469,332.087524,248.950241,47.674892,283.850647,250.534653,45.692844,193.531921,264.066406,38.650188,1,0,0,0,0,0,0,0,0
46,'2018/04/07 15:46:50:015',2,383.725281,297.490479,24.576225,394.310822,244.528824,44.23122,332.013794,248.858215,47.669403,283.647217,250.345596,45.690029,193.314713,263.87616,38.643211,1,0,0,0,0,0,0,0,0
47,'2018/04/07 15:46:50:064',2,383.796295,297.465515,24.553581,394.286133,244.436356,44.233738,332.012451,248.771988,47.669857,283.635864,250.239655,45.689896,193.329803,263.832153,38.640846,1,0,0,0,0,0,0,0,0
48,'2018/04/07 15:46:50:113',2,382.830536,297.715027,24.539795,394.31958,244.381897,44.233833,332.090393,248.800095,47.669598,283.72467,250.285233,45.691151,193.413727,263.893066,38.643532,1,0,0,0,0,0,0,0,0
49,'2018/04/07 15:46:50:162',2,381.477753,298.30249,24.623167,394.509216,244.677368,44.254131,332.373138,249.002869,47.681797,283.926758,250.314117,45.702843,193.641998,263.955872,38.651352,1,0,0,0,0,0,0,0,0
50,'2018/04/07 15:46:50:215',2,381.702148,298.481018,24.759159,394.558594,244.691971,44.292454,332.44632,249.013214,47.704678,283.993744,250.281052,45.717278,193.83226,264.048431,38.65028,1,0,0,0,0,0,0,0,0
51,'2018/04/07 15:46:50:264',2,385.336884,297.866638,24.696472,394.167572,244.494522,44.313007,332.020386,248.842484,47.709244,283.532257,250.085083,45.71117,193.585297,263.977783,38.62014,1,0,0,0,0,0,0,0,0
52,'2018/04/07 15:46:50:312',2,393.493042,296.115326,24.682144,393.639771,244.021866,44.330074,331.319,248.331787,47.712025,283.08252,249.913361,45.703781,193.274994,263.811859,38.593063,1,0,0,0,0,0,0,0,0
53,'2018/04/07 15:46:50:362',2,396.065094,295.477783,24.631538,393.410278,243.891174,44.331203,331.100739,248.348892,47.707233,282.760712,249.776901,45.69595,193.135544,263.798218,38.568462,1,0,0,0,0,0,0,0,0
54,'2018/04/07 15:46:50:412',2,395.186523,295.691101,24.466463,393.454651,243.896667,44.321514,331.103516,248.345139,47.698677,282.666473,249.536865,45.686855,193.143005,263.73761,38.553925,1,0,0,0,0,0,0,0,0
55,'2018/04/07 15:46:50:470',2,391.573517,296.145142,24.265045,393.580566,243.962189,44.320526,331.056702,248.079742,47.697342,282.787842,249.552994,45.681065,193.279526,263.720398,38.540867,1,0,0,0,0,0,0,0,0
56,'2018/04/07 15:46:50:519',2,387.329376,296.470154,24.038708,393.69281,244.020737,44.30949,331.25238,248.316345,47.684566,282.89267,249.594955,45.669159,193.364304,263.715607,38.526352,1,0,0,0,0,0,0,0,0
57,'2018/04/07 15:46:50:583',2,385.058655,296.747681,23.861834,393.809692,244.256134,44.250107,331.464142,248.757751,47.625057,283.063446,249.884399,45.609463,193.468613,263.921356,38.475754,1,0,0,0,0,0,0,0,0
58,'2018/04/07 15:46:50:646',2,385.032715,296.848114,23.669273,393.555359,244.619492,44.089462,331.241272,249.175095,47.442669,282.807037,250.105453,45.412445,193.411682,264.075195,38.257179,1,0,0,0,0,0,0,0,0
59,'2018/04/07 15:46:50:714',2,384.075684,297.471954,23.662945,393.308624,245.075439,44.051208,331.035461,249.594864,47.378403,282.564972,250.342224,45.331459,193.185333,263.931946,38.153099,1,0,0,0,0,0,0,0,0
60,'2018/04/07 15:46:50:766',2,381.16684,298.41861,23.724838,393.202209,245.394226,44.037785,330.926147,249.605148,47.359764,282.519958,250.56041,45.307831,193.098312,263.814758,38.140732,1,0,0,0,0,0,0,0,0
61,'2018/04/07 15:46:50:814',2,377.298492,299.232239,23.770121,393.161957,245.587952,44.056664,331.022064,249.744598,47.366417,282.511169,250.651337,45.308083,193.126923,263.790527,38.131142,1,0,0,0,0,0,0,0,0
62,'2018/04/07 15:46:50:863',2,376.462189,299.66745,23.858816,393.045685,245.731766,44.092575,330.977509,249.879089,47.379799,282.399506,250.610367,45.305424,193.315414,263.967865,38.10836,1,0,0,0,0,0,0,0,0
63,'2018/04/07 15:46:50:912',2,376.499176,300.117615,24.030041,393.006409,245.823029,44.11446,330.923798,249.898499,47.38868,282.389038,250.700165,45.304295,193.50824,264.125549,38.096554,1,0,0,0,0,0,0,0,0
64,'2018/04/07 15:46:50:962',2,376.629791,300.317749,24.129,392.995575,245.853928,44.124744,330.925446,249.900757,47.392818,282.377869,250.696182,45.30357,193.486786,264.073669,38.087685,1,0,0,0,0,0,0,0,0
